2018-11-20 00:21:32.390 [THREAD    1] [DEBUG] Illumina.SpaceDock.SpaceDock                       Configuring Job: {"ReferenceId":"use1-prod:138144045","DockerImageId":"akorobeynikov/spades_test","DockerUserName":"","DockerPassword":"","AccessToken":"[hidden]","ApiUrl":"https://api.basespace.illumina.com","CommandLine":["/home/apps/spades/bin/spades.py","--basespace","/data/input/AppSession.json"],"Options":["LaunchMode=SpotThenOnDemand","bsfs.genomesjsonurl=https://s3.amazonaws.com/use1-prd-seq-hub-appdata/use1-genomes.json"],"IsTimedOut":false}
2018-11-20 00:21:43.341 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AbstractResourceDownloadLogic`3[[Illumina.BaseSpace.SDK.Types.SampleCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.ServiceModels.ListSampleFilesRequest, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] Downloading SRR643156_S2_L001_R1_001.fastq.gz completed after 1 attempts and 8781ms
2018-11-20 00:21:43.341 [THREAD Threadpool worker] [INFO ] Illumina.SpaceDock.Downloader                      Begin downloading file SRR643156_S2_L001_R2_001.fastq.gz.
2018-11-20 00:21:43.342 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AbstractResourceDownloadLogic`3[[Illumina.BaseSpace.SDK.Types.SampleCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.ServiceModels.ListSampleFilesRequest, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] operation starting: Downloading SRR643156_S2_L001_R2_001.fastq.gz attempt 1
2018-11-20 00:21:43.342 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/files/5259185809/content
2018-11-20 00:21:43.342 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: GET:v1pre3/files/5259185809/content attempt 1
2018-11-20 00:21:43.380 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/files/5259185809/content completed after 1 attempts and 38ms
2018-11-20 00:21:46.785 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.DownloadFileCommand         Execution Over with _token.IsCancellationRequested = False for NotSet
2018-11-20 00:21:46.787 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Downloader+<>c__DisplayClass2_1`1[[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] Validating temp file '/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/scratch/downloads/samples/37372535/Data/Intensities/BaseCalls/SRR643156_S2_L001_R2_001.fastq.gz'.
2018-11-20 00:21:52.834 [THREAD Threadpool worker] [INFO ] Illumina.SpaceDock.Downloader+<>c__DisplayClass2_1`1[[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] Finished downloading file SRR643156_S2_L001_R2_001.fastq.gz (100% downloaded).
2018-11-20 00:21:52.835 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AbstractResourceDownloadLogic`3[[Illumina.BaseSpace.SDK.Types.SampleCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.ServiceModels.ListSampleFilesRequest, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] Downloading SRR643156_S2_L001_R2_001.fastq.gz completed after 1 attempts and 9493ms
